CONFIGURACIÓN,,,,,,,,,
Envío Total ($),"$160,00",,,,,,,,
Margen de Ganancia (%),80%,,,,,,,,
Total de Artículos,53,,,,,,,,
Envío por Artículo ($),"$3,0189",,,,,,,,
Dólar Físico (pesos),$620,,,,,,,,
Dólar Digital (pesos),$500,,,,,,,,
Factor de Ajuste (físico/digital),"1,2400",,,,,,,,
,,,,,,,,,
Paquete,Producto,Costo Original ($),Costo Envío ($),Costo Total ($),Costo Ajustado ($),Margen (%),Precio Venta ($),Precio Venta (pesos),Ganancia ($)
Paq 1 - Base Rule SHEIN,SHEIN Set 2 piezas romántica blanca sujetador largo - Burdeos / 8(L),"$13,29","$3,02","$16,31","$20,22",80%,"$36,40",$18.201,"$16,18"
Paq 1 - Base Rule SHEIN,SHEIN Set 2 piezas romántica blanca sujetador largo - Burdeos / 6(M),"$13,29","$3,02","$16,31","$20,22",80%,"$36,40",$18.201,"$16,18"
Paq 1 - Base Rule SHEIN,SHEIN Set 2 piezas con parches encaje rosa rojo - Verde / 4(S),"$8,29","$3,02","$11,31","$14,02",80%,"$25,24",$12.621,"$11,22"
Paq 1 - Base Rule SHEIN,Set 2 piezas con parches encaje rosa rojo - Púrpura malva / 8(L),"$8,19","$3,02","$11,21","$13,90",80%,"$25,02",$12.509,"$11,12"
Paq 1 - Base Rule SHEIN,SHEIN Set 2 piezas con parches encaje rosa rojo - Verde / 6(M),"$8,29","$3,02","$11,31","$14,02",80%,"$25,24",$12.621,"$11,22"
Paq 1 - Base Rule SHEIN,SHEIN 2 piezas sujetador sexy malla bordada con aros - Rojo / 8(L),"$16,79","$3,02","$19,81","$24,56",80%,"$44,21",$22.107,"$19,65"
Paq 1 - Base Rule SHEIN,Conjunto lencería minimalista unicolor 4 piezas - Azul y blanco / 8(L),"$16,29","$3,02","$19,31","$23,94",80%,"$43,10",$21.549,"$19,15"
Paq 1 - Base Rule SHEIN,Conjunto lencería minimalista unicolor 4 piezas - Azul y blanco / 6(M),"$16,29","$3,02","$19,31","$23,94",80%,"$43,10",$21.549,"$19,15"
Paq 1 - Base Rule SHEIN,SHEIN Set 2 piezas con parches encaje rosa rojo - Verde / 8(L),"$8,29","$3,02","$11,31","$14,02",80%,"$25,24",$12.621,"$11,22"
Paq 1 - Base Rule SHEIN,Set 2 piezas romántica blanca sujetador largo - Negro / 10(XL),"$13,49","$3,02","$16,51","$20,47",80%,"$36,85",$18.424,"$16,38"
